"","i","t","fid","lw"
"1",1,1,1,-1.81609599194888
"2",1,2,1,-1.87543622544888
"3",1,3,1,-1.61222534913588
"4",1,4,1,-1.63972371368938
"5",1,5,1,-1.71499847638257
"6",1,6,611,-2.4111543479085
"7",1,7,100,-2.27307388282743
"8",1,8,100,-2.06630298111261
"9",1,9,100,-2.38485680015684
"10",1,10,100,-2.42921389679811
"11",2,1,2,-0.594550062453443
"12",2,2,2,-0.878058761613426
"13",2,3,2,-0.937052073121373
"14",2,4,2,-0.814457207448053
"15",2,5,2,-0.67037290534251
"16",2,6,2,-0.472853096706279
"17",2,7,2,-1.1787292028159
"18",2,8,2,-0.584841713932561
"19",2,9,2,-0.799423890870275
"20",2,10,2,-0.624907756608013
"21",3,1,3,0.857092871151923
"22",3,2,3,0.810008163068602
"23",3,3,85,0.858188307191783
"24",3,4,85,1.36699646442293
"25",3,5,85,1.19561409582936
"26",3,6,85,1.0563520475616
"27",3,7,85,1.52214663030955
"28",3,8,85,1.5024596088802
"29",3,9,85,1.30584431804963
"30",3,10,85,0.965491588843348
"31",4,1,4,0.427000966794199
"32",4,2,4,0.0406699776029651
"33",4,3,4,0.408559817688593
"34",4,4,4,0.796056977010277
"35",4,5,4,0.266568063404799
"36",4,6,4,0.243878769287887
"37",4,7,4,0.436357724839546
"38",4,8,42,-0.270345124110877
"39",4,9,42,-0.541674594894498
"40",4,10,42,-0.453037202665485
"41",5,1,5,0.0481350916598051
"42",5,2,5,0.342081875223751
"43",5,3,5,0.229512593165884
"44",5,4,5,0.49945852697066
"45",5,5,82,-0.740130758929145
"46",5,6,82,-0.784108192945442
"47",5,7,82,-0.791753475402388
"48",5,8,82,-0.817551594385209
"49",5,9,596,0.647691752813363
"50",5,10,596,0.659696733010164
"51",6,1,6,-0.392219591116568
"52",6,2,6,-0.546834891548732
"53",6,3,6,-0.761579141238176
"54",6,4,6,-0.456075598605005
"55",6,5,6,-0.576762814294736
"56",6,6,6,-0.561071228216539
"57",6,7,6,-0.403233870036434
"58",6,8,6,-0.167906551587326
"59",6,9,6,-0.733386580693679
"60",6,10,6,-0.918128434254265
"61",7,1,7,-0.791279258998519
"62",7,2,7,0.0850724658613077
"63",7,3,7,-0.398153201850242
"64",7,4,7,-0.188979622692559
"65",7,5,7,-0.625119772733334
"66",7,6,7,-0.57243562693617
"67",7,7,7,-0.449243978314561
"68",7,8,7,-0.534709829466128
"69",7,9,7,-0.261452380077193
"70",7,10,7,-0.318441059693142
"71",8,1,8,-1.16025192732878
"72",8,2,8,-0.837819507446218
"73",8,3,8,-0.723415663064139
"74",8,4,8,-0.903399661763038
"75",8,5,8,-0.937838835412573
"76",8,6,8,-1.14453286197901
"77",8,7,8,-1.06730588736396
"78",8,8,8,-0.878412173397184
"79",8,9,8,-0.814717960035684
"80",8,10,8,-0.94952799015395
"81",9,1,9,1.11257926103615
"82",9,2,9,1.3777428035392
"83",9,3,9,0.574691095585006
"84",9,4,9,1.13988961405802
"85",9,5,289,0.213746170846302
